x 0 1 2 3 4 5 6 7 
1590.000000 17.258773 58.196963 21.286423 9.192490 58.101058 40.541675 14.923553 14.923553 
1600.000000 17.365584 58.559449 21.417269 9.252139 58.454332 40.793753 15.017353 15.017353 
1610.000000 17.472698 58.916145 21.552316 9.310649 58.813324 41.044365 15.111153 15.111153 
1620.000000 17.581665 59.284849 21.686942 9.367901 59.180680 41.297243 15.204953 15.204953 
1630.000000 17.695248 59.640205 21.828441 9.423783 59.543246 41.554251 15.298752 15.298752 
1640.000000 17.804708 60.004460 21.964307 9.481163 59.907314 41.803664 15.392552 15.392552 
1650.000000 17.910346 60.379275 22.103038 9.537596 60.262232 42.064669 15.486352 15.486352 
1660.000000 18.019578 60.743476 22.240625 9.594527 60.624727 42.318079 15.580152 15.580152 
1670.000000 18.125897 61.112663 22.375094 9.652695 60.981860 42.564828 15.673952 15.673952 
1680.000000 18.236075 61.482546 22.508420 9.710599 61.337564 42.821170 15.767752 15.767752 
1690.000000 18.346026 61.839671 22.642949 9.769058 61.694340 43.071249 15.861551 15.861551 
1700.000000 18.450794 62.202586 22.773301 9.828278 62.057836 43.327857 15.955351 15.955351 
1710.000000 18.558134 62.567912 22.906326 9.887363 62.409966 43.567945 16.049151 16.049151 
1720.000000 18.670885 62.912065 23.049246 9.944367 62.759236 43.821222 16.142951 16.142951 
1730.000000 18.776258 63.282645 23.184052 10.002231 63.119015 44.070635 16.236751 16.236751 
1740.000000 18.881745 63.645345 23.316029 10.061255 63.478436 44.327909 16.330551 16.330551 
1750.000000 18.989009 64.008420 23.454483 10.118243 63.845935 44.570395 16.424350 16.424350 
1760.000000 19.093853 64.376856 23.587977 10.176073 64.217723 44.819542 16.518150 16.518150 
1770.000000 19.203047 64.755746 23.719906 10.233237 64.590512 45.069888 16.611950 16.611950 
1780.000000 19.311334 65.122037 23.850451 10.291466 64.963014 45.328894 16.705750 16.705750 
1790.000000 19.422382 65.493851 23.987882 10.347497 65.335874 45.574977 16.799550 16.799550 
1800.000000 19.539257 65.862501 24.128406 10.402144 65.709235 45.827454 16.893350 16.893350 
1810.000000 19.648905 66.219465 24.262899 10.459866 66.079450 46.083530 16.987149 16.987149 
1820.000000 19.760900 66.581254 24.399114 10.516976 66.440944 46.342669 17.080949 17.080949 
1830.000000 19.866916 66.943043 24.532331 10.575678 66.796648 46.600343 17.174749 17.174749 
1840.000000 19.970322 67.299846 24.666367 10.634479 67.157571 46.858816 17.268549 17.268549 
1850.000000 20.075581 67.658687 24.795299 10.694923 67.511202 47.111161 17.362349 17.362349 
1860.000000 20.182430 68.013185 24.925603 10.754352 67.874840 47.376029 17.456149 17.456149 
1870.000000 20.289770 68.360875 25.060481 10.813200 68.233690 47.635835 17.549948 17.549948 
1880.000000 20.396240 68.722289 25.197201 10.870959 68.591895 47.891377 17.643748 17.643748 
1890.000000 20.503202 69.068693 25.330936 10.930717 68.942095 48.149851 17.737548 17.737548 
1900.000000 20.608159 69.406144 25.468150 10.990146 69.297513 48.402995 17.831348 17.831348 
1910.000000 20.717392 69.756622 25.602872 11.048581 69.660866 48.660136 17.925148 17.925148 
1920.000000 20.824051 70.107743 25.734332 11.108356 70.026363 48.905685 18.018948 18.018948 
1930.000000 20.930105 70.461009 25.868476 11.167359 70.384927 49.158829 18.112747 18.112747 
1940.000000 21.035516 70.818348 25.999117 11.227255 70.738415 49.419567 18.206547 18.206547 
1950.000000 21.141116 71.175902 26.139774 11.284274 71.097907 49.669914 18.300347 18.300347 
1960.000000 21.249743 71.525361 26.268922 11.344410 71.461046 49.927854 18.394147 18.394147 
1970.000000 21.354851 71.877179 26.404752 11.403197 71.819037 50.180598 18.487947 18.487947 
1980.000000 21.461851 72.226800 26.539100 11.462126 72.180317 50.433875 18.581747 18.581747 
1990.000000 21.574829 72.577063 26.675785 11.520531 72.532018 50.679425 18.675546 18.675546 
2000.000000 21.685310 72.934939 26.814238 11.578100 72.883361 50.925108 18.769346 18.769346 
2010.000000 21.792726 73.300051 26.942496 11.636701 73.256007 51.164529 18.863146 18.863146 
2020.000000 21.899991 73.659320 27.072017 11.695867 73.614284 51.410212 18.956946 18.956946 
2030.000000 22.009374 74.015212 27.198673 11.755909 73.976708 51.648967 19.050746 19.050746 
2040.000000 22.116828 74.375125 27.325763 11.816099 74.326836 51.884390 19.144546 19.144546 
2050.000000 22.222390 74.735574 27.451396 11.876357 74.690618 52.126476 19.238345 19.238345 
2060.000000 22.330866 75.087124 27.578257 11.936449 75.050825 52.366030 19.332145 19.332145 
2070.000000 22.440098 75.443177 27.705178 11.996376 75.407887 52.603719 19.425945 19.425945 
2080.000000 22.552282 75.795316 27.842428 12.054193 75.751582 52.843673 19.519745 19.519745 
2090.000000 22.668930 76.151423 27.971829 12.112719 76.105856 53.075100 19.613545 19.613545 
2100.000000 22.776649 76.510156 28.102386 12.171594 76.468065 53.320649 19.707345 19.707345 
2110.000000 22.879714 76.875965 28.232064 12.231152 76.824842 53.551011 19.801144 19.801144 
2120.000000 22.985351 77.248529 28.355421 12.291633 77.182476 53.790698 19.894944 19.894944 
2130.000000 23.091481 77.606780 28.479200 12.352020 77.554049 54.033183 19.988744 19.988744 
2140.000000 23.199730 77.908476 28.610889 12.416701 77.868006 54.252486 20.082544 20.082544 
2150.000000 23.300033 77.991137 28.754567 12.503082 77.948783 54.385053 20.176344 20.176344 
2160.000000 23.405519 78.071868 28.904951 12.587496 78.028917 54.524016 20.270144 20.270144 
2170.000000 23.522508 78.149329 29.059946 12.670157 78.106620 54.654452 20.363943 20.363943 
2180.000000 23.640556 78.223306 29.216434 12.752383 78.183751 54.778093 20.457743 20.457743 
2190.000000 23.759058 78.309451 29.370465 12.834138 78.268030 54.911593 20.551543 20.551543 
2200.000000 23.877749 78.374958 29.508305 12.918977 78.332223 55.025108 20.645343 20.645343 
