x 0 1 2 3 4 5 6 7 8 
4160 245042 400814 91444 3297 30 2384157 1202091 1779233 8760368 
4170 243523 402474 91936 3318 30 2385382 1207551 1780772 8785664 
4180 242112 404059 92429 3330 30 2386580 1212829 1782341 8811239 
4190 240455 405808 92916 3346 30 2387951 1218174 1783843 8836404 
4200 238964 407365 93436 3371 30 2389100 1223741 1785324 8861652 
4210 237545 408903 93986 3387 30 2390522 1229368 1786900 8886263 
4220 236026 410421 94550 3390 30 2391649 1234788 1788369 8911973 
4230 234719 411949 95056 3390 30 2393022 1240091 1790168 8937053 
4240 233356 413425 95586 3390 30 2394495 1245283 1791857 8962395 
4250 232043 414944 96099 3390 30 2395988 1250310 1793627 8987873 
4260 230637 416607 96557 3391 30 2397511 1255522 1795275 9012967 
4270 229439 417109 97502 3557 35 2397364 1261232 1796388 9039963 
4280 228689 416169 98658 4143 80 2394131 1267364 1796626 9070439 
4290 227927 415362 99871 4637 116 2391231 1273613 1797045 9100130 
4300 227147 414439 101050 5212 154 2388067 1279827 1797318 9130548 
4310 226376 413564 102245 5751 215 2385138 1286036 1797713 9160246 
4320 225704 412733 103329 6330 263 2382185 1292181 1798155 9190181 
4330 225187 412025 104050 6988 362 2380017 1297722 1798766 9219445 
4340 224379 410976 105566 7415 377 2376985 1303923 1798997 9249615 
4350 223573 410173 106973 7793 385 2374229 1310186 1799465 9279202 
4360 222749 409140 108390 8297 415 2370805 1316523 1799701 9309285 
4370 221942 408289 109615 8824 462 2367735 1322633 1800035 9339286 
4380 221265 407318 110816 9412 504 2364797 1328707 1800387 9369150 
4390 220614 406516 112031 9861 534 2362275 1334943 1801035 9398320 
4400 219891 405420 113238 10504 594 2358954 1341235 1801262 9428293 
4410 219080 404590 114485 11027 611 2356027 1347204 1801664 9458426 
4420 218458 403745 115561 11617 643 2353332 1353216 1802169 9488156 
4430 217787 402963 116531 12227 673 2350356 1359316 1802503 9518439 
4440 217079 402237 117594 12790 720 2347747 1365427 1803075 9547718 
4450 216285 401312 118852 13296 772 2344701 1371446 1803332 9578099 
